,ch0,ch1,ch2,ch3
-6,4.8846006e-05,0.000175667927,3.9448962e-05,0.0
-5,4.8857182e-05,0.000175695866,3.9411709e-05,0.0
-4,4.88488e-05,0.000175567344,3.9697625e-05,3.47225e-05
-3,4.8752874e-05,0.000175896101,3.95393e-05,3.4554861e-05
-2,4.8972666e-05,0.000175755471,3.951136e-05,3.4554861e-05
-2,4.8972666e-05,0.000175755471,3.951136e-05,3.46452e-05
-2,4.8972666e-05,0.000175755471,3.951136e-05,3.46452e-05
-1,4.8794784e-05,0.000175862573,3.9415434e-05,3.4614466e-05
0,4.8919581e-05,0.000175995752,3.9485283e-05,3.4766272e-05
1,4.8734248e-05,0.00017595198,3.9370731e-05,3.4554861e-05
2,4.8927963e-05,0.000175952911,3.9482489e-05,3.458932e-05
3,4.8602e-05,0.000175775029,3.934931e-05,3.4628436e-05
4,4.8953108e-05,0.000175986439,3.9498322e-05,3.4580939e-05
5,4.8693269e-05,0.000175723806,3.9302744e-05,3.4519471e-05
6,4.8868358e-05,0.000175955705,3.9352104e-05,3.4712255e-05
6,4.8868358e-05,0.000175955705,3.9352104e-05,3.4712255e-05
7,4.868675e-05,0.000175812282,3.9380044e-05,3.4648925e-05
8,4.8931688e-05,0.000175856054,3.9501116e-05,3.47225e-05
8,4.8931688e-05,0.000175856054,3.9501116e-05,3.47225e-05
9,4.8685819e-05,0.00017571263,3.9487146e-05,3.4506433e-05
10,4.8911199e-05,0.000175915658,3.928598e-05,3.4732744e-05
11,4.8863702e-05,0.000175526366,3.9401464e-05,3.4639612e-05
12,4.8920512e-05,0.000175757334,3.9227307e-05,3.4622848e-05
13,4.8642978e-05,0.000175777823,3.9498322e-05,3.4496188e-05
14,4.8849732e-05,0.000176052563,3.9312057e-05,3.4630299e-05
15,4.8771501e-05,0.000175807625,3.9481558e-05,3.4737401e-05
16,4.8849732e-05,0.000176060013,3.9334409e-05,3.4584664e-05
17,4.877802e-05,0.000175637193,3.9518811e-05,3.4508295e-05
18,4.8735179e-05,0.00017607864,3.9290637e-05,3.4574419e-05
19,4.8839487e-05,0.000175708905,3.9554201e-05,3.4729019e-05
20,4.8822723e-05,0.000175807625,3.9390288e-05,3.4729019e-05
20,4.8822723e-05,0.000175807625,3.9390288e-05,3.4570694e-05
21,4.8812479e-05,0.000175939873,3.9646402e-05,3.4762546e-05
22,4.8743561e-05,0.000175948255,3.9394014e-05,3.4715049e-05
22,4.8743561e-05,0.000175948255,3.9394014e-05,3.4715049e-05
23,4.8871152e-05,0.00017566327,3.9585866e-05,3.4817494e-05
24,4.8772432e-05,0.000175780617,3.9441511e-05,3.4556724e-05
25,4.8820861e-05,0.000175921246,3.9543025e-05,3.4763478e-05
26,4.8747286e-05,0.000175871886,3.9252453e-05,3.4499913e-05
27,4.8974529e-05,0.000175890513,3.9581209e-05,3.4752302e-05
28,4.8735179e-05,0.000175899826,3.9419159e-05,3.4471042e-05
29,4.8900954e-05,0.000176103786,3.9372593e-05,3.4782104e-05
30,4.8775226e-05,0.000175936148,3.9420091e-05,3.4578145e-05
31,4.8828311e-05,0.000175992958,3.9227307e-05,3.4582801e-05
31,4.8828311e-05,0.000175992958,3.9227307e-05,3.4582801e-05
32,4.8712827e-05,0.000175911933,3.9415434e-05,3.4607947e-05
33,4.8931688e-05,0.000175906345,3.9331615e-05,3.4445897e-05
34,4.8578717e-05,0.000175742432,3.9445236e-05,3.460329e-05
35,4.8920512e-05,0.000176019035,3.9318576e-05,3.4526922e-05
36,4.8768707e-05,0.000175812282,3.9541163e-05,3.480725e-05
37,4.8778951e-05,0.000175914727,3.9434992e-05,3.4784898e-05
38,4.8914924e-05,0.000175741501,3.9675273e-05,3.4742057e-05
39,4.8859976e-05,0.00017581135,3.9381906e-05,3.4629367e-05
40,4.8706308e-05,0.000175516121,3.9571896e-05,3.4837984e-05
