,ch0,ch1,ch2,ch3
49,4.4878572000000004e-05,0.00018137320899999998,3.6858954e-05,3.5894103e-05
50,4.5117922e-05,0.000181554817,3.6907381999999996e-05,3.5842881000000003e-05
51,4.5054592000000005e-05,0.000181455165,3.6847777999999996e-05,3.5737641e-05
52,4.5350753000000004e-05,0.00018186122200000002,3.6207959e-05,3.5737641e-05
53,4.6109781000000005e-05,0.000182006508,3.4632161000000004e-05,3.5850331e-05
54,4.7831796e-05,0.00018274691000000004,3.2180920000000004e-05,3.6331825e-05
55,4.9781986e-05,0.00018169079,3.0757859e-05,3.5211444e-05
56,5.0421804e-05,0.000180999748,3.0498952e-05,3.6373734e-05
57,4.9418770000000007e-05,0.00018066261000000003,2.9433519e-05,3.4422613999999996e-05
58,5.2173622e-05,0.00017645955099999998,2.6856549e-05,3.5303645e-05
59,5.227793e-05,0.000174351968,2.9036774999999998e-05,3.5540201000000005e-05
60,5.2226707e-05,0.00016617309300000002,2.7346424999999998e-05,3.5540201000000005e-05
61,4.9070455e-05,0.000183610246,2.9402784999999998e-05,3.9310195e-05
62,4.4910237e-05,0.000185996294,2.0953827e-05,1.8731691e-05
63,3.6538579e-05,0.00018953438799999999,5.1061623e-05,1.0324642e-05
64,2.7364120000000003e-05,0.000158761628,4.5016408e-05,2.0676292e-05
65,2.7364120000000003e-05,0.000158761628,4.5016408e-05,2.0676292e-05
66,2.7364120000000003e-05,0.000158761628,4.5016408e-05,2.0676292e-05
67,3.0052848e-05,0.00015086028700000002,1.7192215000000002e-05,2.0676292e-05
68,2.6604161e-05,0.00014923606100000002,1.9759871e-05,5.885027e-06
69,1.6404316e-05,0.000143898651,1.8510036e-05,6.95698e-07
70,1.7540529e-05,0.00014453847,2.0369887e-05,4.059635e-06
71,2.2374094e-05,0.00014165043799999999,2.2476538999999997e-05,9.226613e-06
72,2.0129606e-05,0.000139023177,2.0222738e-05,7.837079e-06
73,2.2502615999999997e-05,0.000142660923,2.0000152e-05,4.680827e-06
74,2.0686536999999997e-05,0.000142504461,1.9412488e-05,4.448928000000001e-06
75,2.0586886e-05,0.000140024349,1.9412488e-05,5.0691890000000004e-06
76,2.0586886e-05,0.000140024349,1.9412488e-05,5.0691890000000004e-06
77,2.0140782e-05,0.000139049254,1.9823201e-05,5.7583669999999995e-06
78,2.2191554e-05,0.000139935873,1.9510277000000002e-05,5.957671e-06
79,2.1349639000000003e-05,0.00014151074,2.0675361e-05,6.094575e-06
137,2.1145679e-05,0.00014112331,1.9937753999999998e-05,5.910173e-06
138,2.1204352e-05,0.00014141947,2.0000152e-05,5.904585e-06
139,2.1238811e-05,0.000141128898,1.9834376999999998e-05,5.904585e-06
140,2.1172687e-05,0.00014136638499999998,2.0070001e-05,5.895272e-06
141,2.1211803e-05,0.000141344033,2.0247884e-05,5.790032e-06
142,2.1154992e-05,0.000141344033,2.0247884e-05,5.925074e-06
143,2.1204352e-05,0.000141267665,1.9782222999999998e-05,6.017275e-06
144,2.1204352e-05,0.00014132168100000001,2.011098e-05,6.127170999999999e-06
145,2.1331944e-05,0.000141391531,0.00010585133,6.127170999999999e-06
146,9.707827100000001e-05,0.000130778179,-9.861775e-06,5.0934963e-05
147,9.707827100000001e-05,0.000130778179,-9.861775e-06,5.0934963e-05
148,7.607974100000001e-05,0.000184207223,0.000133389607,4.1969120999999995e-05
149,6.2466599e-05,0.000142098404,2.967194e-06,1.7547979999999997e-05
150,4.6068801999999994e-05,0.000147350132,2.3942441e-05,-1.4323741e-05
151,3.3100136000000004e-05,0.0001419615,5.7365744999999995e-05,-1.4323741e-05
152,5.4039061e-05,0.00020827353,3.7086196e-05,3.054738e-05
153,4.0672719e-05,0.00016829278300000002,4.7146343e-05,3.2714568e-05
154,2.42237e-05,0.00016374886,4.7535636000000005e-05,4.3646432000000004e-05
155,2.42237e-05,0.00016374886,4.7535636000000005e-05,4.3646432000000004e-05
156,5.0678849e-05,0.000177032314,2.7799978999999997e-05,4.6526082e-05
157,5.3839758000000004e-05,0.000187336467,3.3985823e-05,3.6887825e-05
158,4.0921383e-05,0.000175721943,4.3592416000000003e-05,3.3194199e-05
159,3.8065016e-05,0.000184830278,4.273653e-05,3.3194199e-05
160,4.510954000000001e-05,0.000182967633,3.6826357e-05,3.5835429999999994e-05
161,4.3101609e-05,0.00017232913499999999,3.7013553e-05,3.5835429999999994e-05
162,4.1208230000000005e-05,0.000175905414,3.9447099e-05,3.8838014e-05
163,4.6745874000000005e-05,0.000175905414,3.5349279999999996e-05,3.8838014e-05
164,4.6745874000000005e-05,0.000185531564,3.5349279999999996e-05,3.8838014e-05
165,4.4397078e-05,0.000185531564,3.9761886e-05,3.6017037999999995e-05
166,4.4397078e-05,0.000182887539,3.9761886e-05,3.6017037999999995e-05
167,4.0453859000000004e-05,0.00017531961200000003,4.3435022e-05,3.5823323e-05
189,4.3970533e-05,0.00018044840499999997,3.8463622e-05,3.7345104e-05
190,4.2899512000000004e-05,0.00017916876799999997,3.8568862e-05,3.6425889e-05
191,4.3068081e-05,0.000179857016,3.8655475e-05,3.7583522e-05
192,4.3938868e-05,0.000180374831,3.8057566e-05,3.7355347999999996e-05
193,4.4017099e-05,0.00018055271400000002,3.8124621e-05,3.7222169e-05
194,4.3697655000000004e-05,0.0001859162,4.0675513e-05,4.0493906e-05
195,5.1119364999999995e-05,0.000202150084,3.7938356e-05,4.0841289e-05
196,5.6369230000000004e-05,0.000202299096,3.3628196e-05,3.6263838e-05
197,5.6369230000000004e-05,0.000202299096,3.3628196e-05,3.6263838e-05
198,4.9148686e-05,0.000183578581,2.9937363999999997e-05,3.6263838e-05
199,4.7280453e-05,0.00017358083299999998,2.9937363999999997e-05,4.5161693999999995e-05
200,5.026906699999999e-05,0.00017358083299999998,3.6034733e-05,2.930034e-05
201,4.5606866e-05,0.00016569253100000002,2.7948059e-05,2.4407171e-05
202,4.0207058e-05,0.00016569253100000002,2.8591603e-05,1.7296523e-05
203,4.0207058e-05,0.00016569253100000002,2.8591603e-05,1.7296523e-05
204,2.7853996e-05,0.000153789297,2.6779249e-05,1.4608725999999999e-05
205,2.368819e-05,0.000145213678,1.3728625999999999e-05,6.490386999999999e-06
206,2.368819e-05,0.000145213678,1.3728625999999999e-05,6.490386999999999e-06
207,2.0284205999999998e-05,0.000141141936,1.889281e-05,3.7271530000000003e-06
208,1.7533079e-05,0.000141143799,2.0028092e-05,4.386529e-06
209,2.2137538e-05,0.000144252554,1.9341707e-05,7.754192000000001e-06
210,2.0661390999999997e-05,0.000140798278,2.2043474000000002e-05,7.04173e-06
211,1.8743798e-05,0.000138597563,1.8974766e-05,5.234033e-06
212,2.1013431e-05,0.00014244671899999998,1.8556602e-05,6.95698e-06
213,2.1911226000000002e-05,0.00014217943,1.9718893e-05,5.743466e-06
214,1.9674189e-05,0.00014030095199999999,1.9473955e-05,5.949289e-06
215,2.0502134999999997e-05,0.000141289085,1.981575e-05,5.949289e-06
216,2.0502134999999997e-05,0.000141289085,1.981575e-05,5.949289e-06
217,2.1063723e-05,0.000141582452,1.9386411e-05,6.094575e-06
218,2.0757318e-05,0.0001418842,1.9564293e-05,6.1951580000000005e-06
219,2.1005049e-05,0.000142253935,1.9140542e-05,6.260349999999999e-06
276,2.0923093e-05,0.000141729601,1.9961968e-05,6.016344000000001e-06
277,2.1072105e-05,0.000141733326,1.9944273e-05,6.105751e-06
278,2.0926817999999997e-05,0.000141474418,1.992844e-05,6.056391e-06
279,2.0965934e-05,0.000141474418,1.989305e-05,6.261282e-06
280,2.0992011000000002e-05,0.000141361728,1.9752420000000002e-05,6.1634929999999995e-06
281,2.0710751e-05,0.000141511671,2.0037405000000003e-05,6.1634929999999995e-06
282,2.0879321e-05,0.000141620636,1.9900501e-05,6.180257000000001e-06
283,2.087187e-05,0.000141746365,2.0100735e-05,6.6207719999999994e-06
284,2.087187e-05,0.000141746365,2.0100735e-05,6.6207719999999994e-06
285,2.087187e-05,0.000141746365,2.0100735e-05,6.6207719999999994e-06
286,2.2192486e-05,0.00020411424299999998,0.00019891280699999998,5.7640485e-05
287,3.877189e-05,0.000164215453,0.000154948793,0.00012020859899999999
288,0.000102899969,0.00010798685299999999,-1.2861565e-05,5.2098180000000006e-06
289,1.9462779000000002e-05,4.9728900000000004e-05,4.1244552000000004e-05,4.742295e-06
290,1.6453676e-05,0.00012158881900000001,2.7773901999999997e-05,4.6219677000000004e-05
291,7.134210299999999e-05,0.000259906985,4.0042214e-05,4.8977323e-05
292,5.1542185e-05,0.00023116916399999998,3.1956472e-05,4.4432469e-05
293,4.5280904e-05,0.000175673515,4.9493276e-05,2.6223249999999997e-05
294,1.5841797e-05,0.000156693161,5.082693e-05,2.6223249999999997e-05
295,4.4808723e-05,0.00016379170099999998,1.4777295e-05,3.0651689e-05
296,4.7577545e-05,0.000175301917,4.4407322999999994e-05,4.3027102999999995e-05
297,4.0462241e-05,0.00016334001,5.1945448e-05,3.4173951e-05
298,4.8042275e-05,0.00016334001,4.848931e-05,3.3683144e-05
299,3.8224272e-05,0.000169997104,4.7194771e-05,3.5205856e-05
300,3.6934391e-05,0.000174785964,4.1604042e-05,3.9112754e-05
301,4.8595481e-05,0.000188970007,3.642682e-05,3.8922764e-05
302,4.532747e-05,0.00018447917,4.4759363e-05,3.3130869e-05
303,3.4164636999999996e-05,0.00016592349900000002,4.5021996e-05,3.2764859e-05
304,3.701169e-05,0.000171588734,4.201475499999999e-05,3.8875267e-05
305,4.8691407e-05,0.00018614158,4.5558438e-05,3.8875267e-05
306,4.6535395e-05,0.000180792063,4.2814760999999995e-05,3.2666138999999995e-05
330,4.2788684e-05,0.000178584829,4.3342821000000005e-05,3.708899e-05
331,4.2629428e-05,0.000177917071,4.3342821000000005e-05,3.5839155e-05
332,4.0899031e-05,0.000176589005,4.3424778e-05,3.5839155e-05
333,4.122406200000001e-05,0.00018020533,4.3660402000000005e-05,3.7642196e-05
334,4.6515837e-05,0.00019494909800000002,3.9499253e-05,3.8261525e-05
335,5.3760596e-05,0.00020688679100000002,3.5502948e-05,3.8261525e-05
336,5.2325428e-05,0.00020020548299999998,3.5502948e-05,3.1851232e-05
337,4.4039451e-05,0.00018746126400000002,3.615208e-05,3.1851232e-05
338,4.2551197e-05,0.000180185772,3.4183264e-05,3.1932257e-05
339,5.2065589e-05,0.000180068426,2.5334768e-05,2.2844411e-05
