,high,low
0,5.0575221238938054e-05,2.375391180654339e-05
1,4.8147335423197496e-05,2.2569620253164554e-05
2,4.677224199288256e-05,2.2280762564991333e-05
3,4.6667701863354035e-05,1.7913333333333337e-05
4,4.680132450331126e-05,1.8190036900369005e-05
5,4.617052023121387e-05,1.8217391304347827e-05
6,4.419073569482289e-05,1.8275193798449612e-05
7,4.205236907730673e-05,1.828975265017668e-05
8,4.2000000000000004e-05,1.8759358288770053e-05
9,4.2513888888888884e-05,1.9479238754325258e-05
10,4.181377551020408e-05,1.9770750988142294e-05
11,4.226388888888889e-05,1.952803738317757e-05
12,4.234979423868314e-05,1.9620512820512822e-05
13,4.207053941908713e-05,2.0776183644189383e-05
14,4.358730158730158e-05,1.9315331010452965e-05
15,4.1764258555133075e-05,1.9245e-05
16,4.278172588832487e-05,2.1e-05
