,high,low
0,4.4958579881656804e-05,1.835042735042735e-05
1,4.638343558282209e-05,1.8314168377823407e-05
2,4.729640718562875e-05,1.8628865979381443e-05
3,4.6895348837209306e-05,2.030998248686515e-05
4,4.536856368563687e-05,1.8921001926782275e-05
5,4.6909356725146195e-05,1.8619329388560158e-05
6,4.5249211356466874e-05,1.886315789473684e-05
7,4.585984848484848e-05,1.8788732394366197e-05
8,4.492150170648464e-05,1.8842729970326414e-05
9,4.5447154471544714e-05,1.8845688350983357e-05
10,4.499236641221374e-05,1.895396825396826e-05
11,4.664372469635627e-05,1.8911337209302327e-05
12,4.891629955947136e-05,1.8988782051282056e-05
13,4.7869718309859156e-05,1.9015337423312886e-05
14,4.68581560283688e-05,1.8887884267631104e-05
15,4.719658119658119e-05,1.894773519163763e-05
16,4.664093959731543e-05,1.8964391691394658e-05
