,high,low
0,4.496753246753247e-05,2.1043661971830983e-05
1,4.386160714285714e-05,2.0717948717948716e-05
2,4.444776119402984e-05,2.080029368575624e-05
3,4.443523316062176e-05,2.099730458221024e-05
4,4.461716171617161e-05,2.0400855920114127e-05
5,4.387222222222222e-05,2.0461240310077518e-05
6,4.383756345177665e-05,2.0260057471264373e-05
7,4.461702127659574e-05,2.0737637362637364e-05
8,4.4357798165137617e-05,2.0924889543446246e-05
9,4.636507936507937e-05,2.1007541478129713e-05
10,4.552654867256638e-05,2.101256732495512e-05
11,4.687822878228782e-05,1.8695810564663024e-05
12,4.720805369127516e-05,1.850706436420722e-05
13,4.698130841121495e-05,1.8242735042735045e-05
14,4.537650602409638e-05,1.815547703180212e-05
15,4.490793650793651e-05,1.800335570469799e-05
16,4.3991735537190074e-05,1.7877906976744185e-05
