,ch0,ch1,ch2,ch3
13,4.8224814e-05,0.00017279014,3.4739263e-05,0.0
14,4.8378482e-05,0.000172920525,3.4746714e-05,0.0
15,4.8057176e-05,0.000172791071,3.4449622e-05,4.3392e-05
16,4.8042275e-05,0.000172890723,3.4590252e-05,4.285574e-05
17,4.8210844e-05,0.000172890723,3.4590252e-05,4.285574e-05
18,4.8136339e-05,0.000172784552,3.4596771e-05,4.2662956e-05
19,4.8199669e-05,0.00017282553,3.4397468e-05,4.2628497e-05
20,4.826393e-05,0.000173124485,3.4414232e-05,4.294049e-05
21,4.8244372e-05,0.000172646716,3.5165809e-05,4.6120957e-05
22,5.001016e-05,0.000172646716,3.5165809e-05,4.6120957e-05
23,5.2873045e-05,0.000176377594,3.8677827e-05,5.124975e-05
24,5.7380646e-05,0.000176377594,4.2133033e-05,5.124975e-05
25,8.5269101e-05,0.000182891265,4.2133033e-05,7.2794966e-05
26,8.4549189e-05,0.000207598321,5.3050928e-05,6.8604946e-05
27,6.0792081e-05,0.000207598321,5.3050928e-05,6.8604946e-05
28,5.6353398e-05,0.000187736936,3.7590973e-05,4.687719e-05
29,4.5284629e-05,0.000177901238,2.8142706e-05,3.656745e-05
30,3.4662895e-05,0.000153134577,3.2100827e-05,2.2676773e-05
33,1.759734e-05,0.00014089793,2.1296553e-05,8.153729e-06
34,1.7031096e-05,0.000138902105,1.6923994e-05,7.728115e-06
35,1.8945895e-05,0.000138902105,1.6923994e-05,7.728115e-06
36,2.1038577e-05,0.000142439269,1.7750077e-05,8.913688e-06
37,1.9239262e-05,0.000140750781,1.7518178e-05,5.917624e-06
38,1.7588027e-05,0.000142885372,2.0036474e-05,7.895753e-06
39,1.8587336e-05,0.000144197606,1.9883737e-05,9.275973e-06
40,1.9873492e-05,0.000144197606,1.9883737e-05,9.275973e-06
41,1.8959865e-05,0.000145114958,1.6594306e-05,8.438714e-06
42,1.7868355e-05,0.00014402438,1.6712584e-05,7.333234e-06
43,1.8480234e-05,0.000142127275,1.7922372e-05,7.607043e-06
44,1.9787811e-05,0.000144192949,2.0214356e-05,9.202398e-06
45,1.9335188e-05,0.000144192949,2.0214356e-05,9.202398e-06
46,1.8464401e-05,0.000142849982,1.8279068e-05,8.082949e-06
47,1.8446706e-05,0.000142849982,1.8279068e-05,8.082949e-06
48,1.8905848e-05,0.000141807832,1.7821789e-05,8.208677e-06
49,1.8789433e-05,0.000142835081,1.9004568e-05,8.716248e-06
50,1.987908e-05,0.000142835081,1.9004568e-05,8.501112e-06
51,1.8645078e-05,0.000142710283,1.9193627e-05,8.501112e-06
52,1.8295832e-05,0.000143071637,1.8601306e-05,7.754192e-06
54,1.9423664e-05,0.000143846497,1.8537976e-05,8.488074e-06
55,1.9423664e-05,0.000142735429,1.8537976e-05,8.488074e-06
56,1.8399209e-05,0.000142735429,1.8617138e-05,7.724389e-06
57,1.866091e-05,0.000143316574,1.8741004e-05,8.972362e-06
58,1.9708648e-05,0.000143458135,1.8436462e-05,8.652918e-06
59,1.8397346e-05,0.000142400153,1.873076e-05,7.92183e-06
60,1.8462539e-05,0.000142709352,1.8658116e-05,7.965602e-06
61,1.9052997e-05,0.000142916106,1.8608756e-05,8.058734e-06
62,1.8750317e-05,0.000142964534,1.8608756e-05,8.058734e-06
64,1.9293278e-05,0.00014303159,1.859758e-05,8.251518e-06
65,1.8672086e-05,0.000142598525,1.859758e-05,8.251518e-06
66,1.8429011e-05,0.000142780133,1.8379651e-05,7.892959e-06
67,1.906883e-05,0.000143260695,1.8454157e-05,8.136034e-06
68,1.9192696e-05,0.000143117271,1.8549152e-05,8.284114e-06
69,1.8749386e-05,0.000142691657,1.8438324e-05,8.00658e-06
70,1.8654391e-05,0.00014285557,1.8760562e-05,8.181669e-06
71,1.8861145e-05,0.000143234618,1.8760562e-05,8.181669e-06
71,1.8861145e-05,0.000143234618,1.8557534e-05,8.209608e-06
72,1.887884e-05,0.000142897479,1.8776394e-05,8.320436e-06
73,1.8898398e-05,0.000142798759,1.8567778e-05,8.258969e-06
74,1.8561259e-05,0.000142788514,1.8731691e-05,8.28784e-06
75,1.8867664e-05,0.000142717734,1.8588267e-05,8.164905e-06
77,1.9080006e-05,0.000143255107,1.8635765e-05,8.433126e-06
79,1.8822961e-05,0.00014300365,1.8579885e-05,8.317642e-06
80,1.871679e-05,0.000142600387,1.8473715e-05,7.988885e-06
80,1.871679e-05,0.000142600387,1.8473715e-05,8.458272e-06
81,1.8894672e-05,0.000143023208,1.8591993e-05,8.198433e-06
82,1.8513761e-05,0.000142885372,1.851283e-05,8.183531e-06
83,1.8972903e-05,0.000142935663,1.851283e-05,8.183531e-06
84,1.8972903e-05,0.000142935663,1.8556602e-05,8.22451e-06
85,1.8830411e-05,0.000142881647,1.8496998e-05,8.326024e-06
86,1.8754043e-05,0.000142581761,1.855474e-05,7.92928e-06
87,1.8693507e-05,0.000142720528,1.855474e-05,7.92928e-06
88,1.8606894e-05,0.000142604113,1.8638559e-05,7.936731e-06
89,2.5221147e-05,0.000153993256,4.8027374e-05,5.9518032e-05
90,4.222244e-05,0.000153993256,5.4321252e-05,5.9518032e-05
91,6.4224005e-05,0.000182424672,4.7070906e-05,5.3173862e-05
92,5.9548765e-05,0.000169507228,4.7070906e-05,5.3173862e-05
93,4.6587549e-05,0.000167988241,4.9813651e-05,4.8308633e-05
94,4.0986575e-05,0.000179249793,4.1956082e-05,4.3822452e-05
95,4.1962601e-05,0.000165876001,3.7278049e-05,3.4710392e-05
96,3.0605122e-05,0.000165003352,3.5723671e-05,3.2389536e-05
97,3.5961159e-05,0.000170650892,3.5723671e-05,3.2389536e-05
98,4.6216883e-05,0.000180250965,4.8318878e-05,4.6664849e-05
99,5.04544e-05,0.000187273137,4.1512772e-05,3.6435202e-05
100,5.3117983e-05,0.000187273137,4.1512772e-05,4.3869019e-05
101,5.7900324e-05,0.000185964629,3.239885e-05,4.1582622e-05
102,5.5987388e-05,0.000187163241,3.5916455e-05,3.8224272e-05
102,5.5987388e-05,0.000187163241,3.5916455e-05,3.8224272e-05
104,4.4847839e-05,0.000179356895,3.4127384e-05,3.2677315e-05
105,5.0469302e-05,0.0001805434,3.3761375e-05,3.9141625e-05
106,5.2037649e-05,0.000180536881,3.4303404e-05,3.8087368e-05
108,4.5520253e-05,0.000175268389,3.5205856e-05,3.539864e-05
109,4.8892573e-05,0.000181319192,3.4554861e-05,3.9812177e-05
110,4.8892573e-05,0.000179856084,3.5597943e-05,3.8029626e-05
111,4.5971945e-05,0.000174880959,3.5528094e-05,3.5739504e-05
111,4.5971945e-05,0.000174880959,3.5528094e-05,3.5739504e-05
112,4.4352375e-05,0.000175671652,3.6205165e-05,3.7921593e-05
113,4.7643669e-05,0.000177721493,3.6549754e-05,3.7921593e-05
114,4.9326569e-05,0.000178327784,3.567338e-05,3.9033592e-05
115,4.69964e-05,0.000176115893,3.6516227e-05,3.9033592e-05
116,4.6472065e-05,0.000176341273,3.6868267e-05,3.8380735e-05
117,4.7319569e-05,0.000177375972,3.5033561e-05,3.8380735e-05
118,4.6808273e-05,0.00017624069,3.6967918e-05,3.751833e-05
119,4.6911649e-05,0.000176763162,3.5749748e-05,3.8316473e-05
120,4.81233e-05,0.00017900113,3.493391e-05,3.8316473e-05
121,4.7861598e-05,0.000177757815,3.5470352e-05,3.6885962e-05
122,4.6079047e-05,0.000176906586,3.5369769e-05,3.7787482e-05
123,4.7606416e-05,0.000178330578,3.5242178e-05,3.7787482e-05
124,4.8798509e-05,0.000178745016,3.5725534e-05,3.8336031e-05
126,4.6210364e-05,0.000176238827,3.5787933e-05,3.7556514e-05
126,4.6210364e-05,0.000176238827,3.5787933e-05,3.7556514e-05
127,4.6805479e-05,0.000177293085,3.5839155e-05,3.8634986e-05
128,4.8141927e-05,0.000177835114,3.5937876e-05,3.907457e-05
129,4.8737973e-05,0.00018340908,4.0955842e-05,3.907457e-05
130,5.2167103e-05,0.000191660598,4.2310916e-05,4.4023618e-05
