,ch0,ch1,ch2,ch3
-4,4.6900474e-05,0.000181052834,3.4408644e-05,0.0
-4,4.6900474e-05,0.000181052834,3.4408644e-05,0.0
-2,4.7125854e-05,0.000181020238,3.4426339e-05,3.5988167e-05
0,4.712306e-05,0.00018119067,3.4189783e-05,3.5878271e-05
1,4.6797097e-05,0.00018119067,3.4189783e-05,3.5878271e-05
3,4.6956353e-05,0.00018128939,3.451854e-05,3.5888515e-05
4,4.7094189e-05,0.000181096606,3.4296885e-05,3.5751611e-05
5,4.677847e-05,0.000181096606,3.4296885e-05,3.5751611e-05
6,4.6946108e-05,0.000181226991,3.4329481e-05,3.583543e-05
7,4.705973e-05,0.000181226991,3.4329481e-05,3.5241246e-05
8,4.85247e-05,0.000181335025,3.4498051e-05,3.5241246e-05
9,5.1707961e-05,0.000189820305,3.58494e-05,3.373716e-05
10,5.3861178e-05,0.000189820305,3.58494e-05,3.373716e-05
11,4.6226196e-05,0.000208571553,3.2607466e-05,2.9777177e-05
13,2.7818605e-05,0.000172454864,1.9996427e-05,1.2910925e-05
14,1.8902123e-05,0.000172454864,1.6762875e-05,1.2910925e-05
15,1.58865e-05,0.000143802725,2.2345223e-05,1.1082739e-05
16,1.6809441e-05,0.000133917667,1.9741245e-05,7.532537e-06
16,1.6809441e-05,0.000133917667,1.9741245e-05,7.532537e-06
17,2.3313798e-05,0.00014065858,1.3976358e-05,8.916482e-06
18,1.6258098e-05,0.000143894926,1.7588027e-05,7.847324e-06
19,1.7558224e-05,0.000140620396,1.8680468e-05,7.792376e-06
20,1.9128434e-05,0.000144100748,1.7807819e-05,9.935349e-06
21,1.8497929e-05,0.000144245103,1.8852763e-05,9.584241e-06
22,1.7103739e-05,0.000140958466,1.8550083e-05,8.361414e-06
23,1.8201768e-05,0.000141833909,1.7833896e-05,9.785406e-06
24,1.8610619e-05,0.000143973157,1.8746592e-05,1.0300428e-05
25,1.8203631e-05,0.000143101439,1.8606894e-05,8.986332e-06
26,1.7240644e-05,0.000142984092,1.8687919e-05,8.638017e-06
27,1.8369406e-05,0.000142000616,1.9256957e-05,9.54885e-06
28,1.8915161e-05,0.000142203644,1.8646941e-05,9.739771e-06
29,1.798477e-05,0.000143065117,1.848489e-05,8.741394e-06
30,1.7799437e-05,0.000143149868,1.8693507e-05,8.992851e-06
31,1.8180348e-05,0.00014266558,1.8229708e-05,9.310432e-06
32,1.8042512e-05,0.000142955221,1.8057413e-05,9.190291e-06
32,1.8042512e-05,0.000142955221,1.8057413e-05,9.190291e-06
